,tick,position,error
0,AACIW,4,'NoneType' object is not subscriptable
1,ABST,23,'NoneType' object is not subscriptable
2,ACABW,27,'NoneType' object is not subscriptable
3,ACAHW,33,'NoneType' object is not subscriptable
4,ACAXR,35,'NoneType' object is not subscriptable
5,ACBAW,39,'NoneType' object is not subscriptable
6,ACDCW,42,'NoneType' object is not subscriptable
7,ACGLO,47,'NoneType' object is not subscriptable
8,ACONW,59,'NoneType' object is not subscriptable
9,ACQRW,63,'NoneType' object is not subscriptable
10,ACRV,65,'NoneType' object is not subscriptable
11,ADERW,79,'NoneType' object is not subscriptable
12,ADNWW,86,'NoneType' object is not subscriptable
13,ADOCR,88,'NoneType' object is not subscriptable
14,ADOCW,89,'NoneType' object is not subscriptable
15,ADSEW,93,'NoneType' object is not subscriptable
16,ADTHW,96,'NoneType' object is not subscriptable
17,AEACW,104,'NoneType' object is not subscriptable
18,AEHAW,107,'NoneType' object is not subscriptable
19,AFACW,120,'NoneType' object is not subscriptable
20,AFAQW,123,'NoneType' object is not subscriptable
21,AFARW,126,'NoneType' object is not subscriptable
22,AFRIW,132,'NoneType' object is not subscriptable
23,AGBAW,136,'NoneType' object is not subscriptable
24,AGGRW,142,'NoneType' object is not subscriptable
25,AGILW,144,'NoneType' object is not subscriptable
26,AGRIW,155,'NoneType' object is not subscriptable
27,AHRNW,164,'NoneType' object is not subscriptable
28,AIMDW,171,'NoneType' object is not subscriptable
29,AIRTP,176,'NoneType' object is not subscriptable
30,AKICW,181,'NoneType' object is not subscriptable
31,ALPAW,212,'NoneType' object is not subscriptable
32,ALSAW,221,'NoneType' object is not subscriptable
33,ALTUW,227,'NoneType' object is not subscriptable
34,ALVOW,229,'NoneType' object is not subscriptable
35,AMAOW,235,'NoneType' object is not subscriptable
36,AMCIW,239,'NoneType' object is not subscriptable
37,AMPGW,250,'NoneType' object is not subscriptable
38,ANGHW,271,'NoneType' object is not subscriptable
39,ANZUW,286,'NoneType' object is not subscriptable
40,AOGOW,289,'NoneType' object is not subscriptable
41,APACW,295,'NoneType' object is not subscriptable
42,APGNW,301,'NoneType' object is not subscriptable
43,APMIW,309,'NoneType' object is not subscriptable
44,APPHW,314,'NoneType' object is not subscriptable
45,APTMW,320,'NoneType' object is not subscriptable
46,ARBEW,334,'NoneType' object is not subscriptable
47,ARBGW,337,'NoneType' object is not subscriptable
48,ARCKW,345,'NoneType' object is not subscriptable
49,AREBW,350,'NoneType' object is not subscriptable
50,ARGUW,353,'NoneType' object is not subscriptable
51,ARIZW,357,'NoneType' object is not subscriptable
52,ARKOW,359,'NoneType' object is not subscriptable
53,ARQQW,364,'NoneType' object is not subscriptable
54,ARTEW,369,'NoneType' object is not subscriptable
55,ASAXW,380,'NoneType' object is not subscriptable
56,ASCAW,382,'NoneType' object is not subscriptable
57,ASCBR,384,'NoneType' object is not subscriptable
58,ASPAW,395,'NoneType' object is not subscriptable
59,ASPI,396,'NoneType' object is not subscriptable
60,ASTLW,405,'NoneType' object is not subscriptable
61,ASTSW,408,'NoneType' object is not subscriptable
62,ATAKR,413,'NoneType' object is not subscriptable
63,ATAT,414,'NoneType' object is not subscriptable
