,tick,institutional,shares_outstanding,value_holdings,increased_positions_holders,increased_positions_shares,decreased_positions_holders,decreased_positions_shares,held_positions_holders,total_positions_shares,new_positions_holders,new_positions_shares,sold_positions_holders,sold_positions_shares
0,AACG,0.79 %,63,$1,2,"335,346",6,"64,590",9,"495,951",1,"334,984",2,"3,435"
1,AACIU,59.58 %,22,$130,27,"13,009,416",0,0,27,"13,009,416",27,"13,009,416",0,0
2,AADI,53.16 %,21,$270,22,"9,393,985",28,"300,641",53,"11,106,893",11,"6,443,584",19,"109,092"
3,AAL,56.76 %,648,"$7,156",238,"46,713,650",258,"26,441,178",629,"367,556,554",72,"20,733,429",60,"4,014,427"
4,AAME,5.71 %,20,$5,5,"56,236",8,"198,617",18,"1,163,024",3,"28,236",1,"8,750"
5,AAOI,49.50 %,27,$80,53,"2,150,426",43,"1,853,841",117,"13,512,645",11,"288,285",17,"1,085,966"
6,AAON,70.21 %,52,"$2,886",94,"1,257,945",87,"1,463,388",224,"36,812,216",18,"272,357",22,"250,590"
7,AAPL,58.21 %,"16,406","$1,541,407","1,658","173,335,396","1,980","189,069,021","3,927","9,549,637,254",101,"48,791,130",94,"10,190,776"
8,AATC,20.13 %,5,$7,13,"85,762",10,"41,153",27,"1,080,235",6,"79,293",5,"15,176"
9,AAWW,108.54 %,29,"$2,990",111,"2,787,186",121,"2,260,093",282,"31,507,358",41,"742,239",22,"795,371"
10,ABCB,90.57 %,70,"$3,371",94,"4,688,172",120,"3,829,476",269,"63,071,877",21,"481,319",24,"1,400,019"
11,ABCL,34.37 %,282,"$1,351",73,"14,753,566",47,"7,570,349",135,"96,780,298",28,"2,735,480",26,"3,798,403"
12,ABCM,9.87 %,229,$503,31,"983,159",22,"1,446,469",59,"22,570,175",7,"172,377",9,"719,258"
13,ABEO,25.07 %,102,$19,17,"1,379,608",38,"3,646,797",79,"25,551,144",6,"720,366",18,"1,585,481"
14,ABGI,76.16 %,16,$116,17,"332,397",14,"1,638,067",72,"11,854,522",3,"90,039",8,"1,441,013"
15,ABIO,10.61 %,14,$4,13,"393,654",8,"58,605",23,"1,528,673",6,"44,120",4,"30,262"
16,ABMD,92.86 %,45,"$13,865",233,"1,606,502",206,"1,730,934",525,"42,248,767",56,"454,795",25,"80,290"
17,ABNB,57.61 %,347,"$35,616",580,"70,080,771",244,"29,365,044",939,"199,788,334",187,"12,507,555",82,"15,214,301"
18,ABOS,59.43 %,40,$216,41,"24,050,168",0,0,41,"24,050,168",41,"24,050,168",0,0
19,ABSI,38.15 %,93,$380,48,"35,321,484",0,0,48,"35,321,484",48,"35,321,484",0,0
20,ABST,62.39 %,50,$283,35,"4,008,716",45,"4,401,812",96,"31,081,239",12,"1,060,239",16,"949,581"
21,ABTX,50.13 %,20,$460,53,"501,396",63,"490,271",146,"10,151,697",13,"158,497",18,"358,999"
22,ABUS,25.81 %,135,$109,56,"8,851,143",37,"3,035,192",115,"34,918,231",25,"3,824,239",15,"675,589"
23,ABVC,0.79 %,29,$1,9,"225,904",0,0,9,"225,904",9,"225,904",0,0
24,ACAD,90.52 %,161,"$2,836",107,"9,006,351",118,"11,694,340",272,"145,514,710",31,"1,970,132",36,"6,140,976"
25,ACAH,66.90 %,34,$225,28,"5,648,848",7,"1,128,529",62,"23,081,147",14,"2,355,326",3,"235,019"
26,ACAHU,29.34 %,34,$100,6,"1,251,353",22,"4,291,657",52,"10,121,027",2,"1,239,906",12,"2,863,255"
27,ACAHW,09/30/2021,0,$456,09/30/2021,"599,996",0%,$456,1.057%,$445,09/30/2021,"533,818",308.639%,$406
28,ACB,17.23 %,198,$226,108,"4,289,612",82,"4,109,393",311,"34,158,832",47,"1,505,644",30,"962,508"
29,ACBA,74.42 %,6,$45,11,"1,712,751",4,"288,450",20,"4,505,523",8,"1,027,926",3,"280,200"
30,ACBAW,09/30/2021,"441,786",$239,09/30/2021,"380,000",0%,$205,-1.661%,$165,09/30/2021,"294,105",-25.731%,$159
31,ACBI,84.62 %,20,$506,45,"3,717,776",68,"3,748,884",139,"17,181,986",27,"2,679,409",23,"2,067,083"
32,ACCD,72.32 %,67,"$1,349",102,"6,318,697",59,"3,045,059",187,"48,211,416",26,"1,155,728",19,"660,354"
33,ACER,10.67 %,14,$3,7,"48,815",13,"85,739",32,"1,526,925",2,"36,682",7,"53,370"
34,ACET,64.62 %,32,$196,28,"1,527,392",25,"2,106,208",71,"20,649,345",5,"761,053",12,"1,785,571"
35,ACEV,70.06 %,23,$160,42,"10,124,067",25,"3,439,093",93,"16,112,823",28,"7,870,776",18,"2,982,634"
36,ACEVU,1.14 %,20,$2,3,"35,461",3,"43,376",7,"228,661",3,"35,461",3,"43,376"
37,ACEVW,09/30/2021,0,"$1,309",09/30/2021,"745,738",0%,$895,0%,$630,09/30/2021,"487,899",-3.173%,$585
38,ACGL,89.93 %,386,"$15,188",197,"18,026,953",178,"26,230,920",453,"347,237,498",61,"2,849,275",31,"2,089,093"
39,ACGLN,0.00 %,20,$0,0,0,1,"40,000",2,83,0,0,1,"40,000"
40,ACGLO,0.00 %,13,$0,0,0,0,0,1,574,0,0,0,0
41,ACHC,101.65 %,90,"$5,564",135,"6,401,454",155,"5,253,703",327,"91,421,462",42,"1,955,643",30,"1,430,240"
42,ACHL,45.14 %,39,$90,6,"549,893",16,"1,736,675",32,"17,597,157",4,"519,574",12,"1,059,847"
43,ACHV,19.22 %,9,$13,20,"220,227",13,"317,711",37,"1,816,889",9,"157,018",4,"146,294"
44,ACIU,24.31 %,73,$94,36,"3,892,060",26,"4,426,021",72,"17,659,538",15,"2,100,698",8,"294,040"
45,ACIW,104.48 %,118,"$3,936",138,"9,012,893",135,"10,735,122",312,"122,837,713",39,"3,847,222",35,"4,233,580"
46,ACKIT,56.95 %,18,$104,15,"2,379,079",7,"274,613",40,"10,346,413",7,"1,911,793",1,"151,379"
47,ACKIU,12.95 %,14,$19,6,"64,078",11,"1,008,185",26,"1,856,572",4,"63,205",7,"969,557"
48,ACKIW,09/30/2021,0,$219,09/30/2021,"292,320",0%,$213,New,$198,09/30/2021,"253,000",0%,$185
49,ACLS,87.68 %,33,"$1,864",86,"1,993,328",102,"1,846,129",223,"29,209,242",35,"459,005",21,"320,329"
50,ACMR,49.57 %,18,$785,60,"3,691,024",46,"2,234,964",117,"8,828,705",25,"1,236,801",22,"404,265"
51,ACNB,21.77 %,9,$55,19,"288,123",26,"196,809",55,"1,893,188",6,"37,660",7,"40,929"
52,ACOR,28.66 %,11,$10,15,"195,242",18,"822,837",44,"3,210,758",6,"108,082",7,"301,965"
53,ACQR,109.73 %,27,$287,23,"7,617,463",4,"181,913",55,"29,404,646",14,"4,585,182",1,"75,000"
54,ACQRU,32.24 %,50,$159,10,"654,224",25,"7,447,985",59,"15,988,705",2,"337,882",15,"4,691,036"
55,ACQRW,09/30/2021,0,$452,09/30/2021,"391,947",New,$392,0%,$380,09/30/2021,"350,000",0%,$350
56,ACRS,92.76 %,61,$725,73,"6,593,541",58,"5,779,747",148,"56,796,157",23,"1,556,694",22,"1,394,300"
57,ACRX,14.30 %,137,$13,15,"426,690",45,"5,591,469",76,"19,571,344",7,"266,279",22,"1,092,708"
58,ACST,0.44 %,44,$0,8,"57,544",15,"279,993",29,"196,430",5,"32,606",12,"33,306"
59,ACT,18.02 %,163,$672,52,"29,345,987",0,0,52,"29,345,987",52,"29,345,987",0,0
60,ACTD,64.16 %,31,$196,29,"5,676,025",11,"1,392,651",64,"19,963,158",17,"3,535,405",5,"1,017,965"
